Class348_Sub40_Sub15,TextureOpMonochromeFill
Class348_Sub40_Sub18,TextureOpColourFill
Class348_Sub40_Sub19,TextureOpHorizontalGradient
Class348_Sub40_Sub4,TextureOpVerticalGradient
Class348_Sub40_Sub22,TextureOpBricks
Class348_Sub40_Sub37,TextureOpBoxBlur
Class348_Sub40_Sub38,TextureOpClamp
Class348_Sub40_Sub16,TextureOpCombine
Class348_Sub40_Sub14,TextureOpCurve
Class348_Sub40_Sub7,TextureOpFlip
Class348_Sub40_Sub12,TextureOpColourGradient
Class348_Sub40_Sub26,TextureOpColourise
Class348_Sub40_Sub36,TextureOpWaveform
Class348_Sub40_Sub20,TextureOpNoise
Class348_Sub40_Sub11,TextureOpWeave
Class348_Sub40_Sub5,TextureOpVoronoiNoise
Class348_Sub40_Sub2,TextureOpHerringbone
Class348_Sub40_Sub30,TextureOpHslAdjust
Class348_Sub40_Sub17_Sub1,TextureOpTiledSprite,
Class348_Sub40_Sub6,TextureOpPolarDistortion
Class348_Sub40_Sub31,TextureOpTile
Class348_Sub40_Sub27,TextureOpInterpolate
Class348_Sub40_Sub32,TextureOpInvert
Class348_Sub40_Sub33,TextureOpKaleidoscope
Class348_Sub40_Sub13,TextureOpMonochrome
Class348_Sub40_Sub1,TextureOpBrightness
Class348_Sub40_Sub3,TextureOpBinary
Class348_Sub40_Sub24,TextureOpSquareWaveform
Class348_Sub40_Sub23,TextureOpIrregularBricks
Class348_Sub40_Sub39,TextureOpRasterizer
Class348_Sub40_Sub10,TextureOpRange
Class348_Sub40_Sub25,TextureOpMandelbrot
Class348_Sub40_Sub35,TextureOpEmboss
Class348_Sub40_Sub34,TextureOpColourEdgeDetector
Class348_Sub40_Sub8,TextureOpPerlinNoise
Class348_Sub40_Sub9,TextureOpMonorchromeEdgeDetector
Class348_Sub40_Sub29,TextureOpTexture
Class348_Sub40_Sub21,TextureOp37
Class348_Sub40_Sub28,TextureOpLineNoise
Class348_Sub40_Sub17,TextureOpSprite
